match	certainty	uuid	hit_sur	hit_giv	auth_sur	auth_giv	source	fuzzy	sur_equal	sur_len_diff	sur_nrm_equal	sur_dec_equal	sur_sim	giv_equal	giv_len_diff	giv_nrm_equal	giv_dec_equal	giv_sim	init_sub
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-913a2fa6d40b479bb890'	b'Weichenrieder'	b'Alfons J.'	b'Weichenrieder'	b'Alfons J.'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-6d3e23188c94b7815669'	b'Buch'	b'Claudia M.'	b'Buch'	b'Claudia M.'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-48baff502c3e13dc8c59'	b'Hilberg'	b'Bjoern'	b'Hilberg'	b'Bjoern'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-95b5536d81be1afe3203'	b'Tonzer'	b'Lena'	b'Tonzer'	b'Lena'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-6d3e23188c94b7815669'	b'Buch'	b'Claudia M.'	b'Buch'	b'Claudia M.'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-48baff502c3e13dc8c59'	b'Hilberg'	b'Bjoern'	b'Hilberg'	b'Bjoern'
1.0	1	1	0	1	1.0	1	1	1	1	0	1	1.0	1	1.0	b'author-95b5536d81be1afe3203'	b'Tonzer'	b'Lena'	b'Tonzer'	b'Lena'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-6d3e23188c94b7815669'	b'Buch'	b'Claudia M.'	b'Buch'	b'Claudia M.'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-48baff502c3e13dc8c59'	b'Hilberg'	b'Bjoern'	b'Hilberg'	b'Bjoern'
1.0	1	1	0	1	1.0	1	4	1	1	0	1	1.0	1	1.0	b'author-95b5536d81be1afe3203'	b'Tonzer'	b'Lena'	b'Tonzer'	b'Lena'
0.9	0	0	-5	0	0.7619047619047619	1	2	1	1	0	1	1.0	1	0.7619047619047619	b'author-5311064d8c82fb63c43d'	b'Hempell'	b'Hannah Sabine'	b'Hempell'	b'Hannah S.'
0.8	1	1	0	1	1.0	1	5	1	1	0	1	1.0	1	1.0	b'author-5311064d8c82fb63c43d'	b'Hempell'	b'Hannah Sabine'	b'Hempell'	b'Hannah Sabine'
1.0	0	0	-5	0	0.7619047619047619	1	1	1	1	0	1	1.0	1	0.7619047619047619	b'author-5311064d8c82fb63c43d'	b'Hempell'	b'Hannah Sabine'	b'Hempell'	b'Hannah S.'
1.0	0	0	-5	0	0.7619047619047619	1	4	1	1	0	1	1.0	1	0.7619047619047619	b'author-5311064d8c82fb63c43d'	b'Hempell'	b'Hannah Sabine'	b'Hempell'	b'Hannah S.'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-941aefbe0f2821c7c99e'	b'Engemann'	b'Martina'	b'Engemann'	b'Martina'
0.9	1	1	0	1	1.0	1	0	1	1	0	1	1.0	1	1.0	b'author-22bba010ecde9f0fdac5'	b'Lindemann'	b'Henrike'	b'Lindemann'	b'Henrike'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-d1c73cd59b6b9a8f86b5'	b'Koetter'	b'Michael'	b'Koetter'	b'Michael'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-d6ff6894fdaf8ec5d184'	b'Karmann'	b'Alexander'	b'Karmann'	b'Alexander'
0.9	1	1	0	1	1.0	1	2	1	1	0	1	1.0	1	1.0	b'author-d93a745fe531e7d11bb8'	b'Fiorentino'	b'Elisabetta'	b'Fiorentino'	b'Elisabetta'
